4.0805	0
4.5905	0.006410256
5.1005	0.006410256
5.6105	0.012820513
6.1205	0.012820513
6.6305	0.051282051
7.1405	0.076923077
7.6505	0.134615385
8.1605	0.185897436
8.6705	0.217948718
9.1805	0.314102564
9.6905	0.391025641
10.2005	0.474358974
10.7105	0.628205128
11.2205	0.826923077
11.7305	1.032051282
12.2405	1.384615385
12.7505	1.673076923
13.2605	1.948717949
13.7705	2.237179487
14.2805	2.621794872
14.7905	2.935897436
15.3005	3.403846154
15.8105	3.858974359
16.3205	4.352564103
16.8305	4.846153846
